ticker_symbol,text,created_at,compound
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:24:58+00:00,0
AMZN,RT @traderstewie: $AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:24:54+00:00,0
AMZN,$AMZN chart.... literally https://t.co/Ivzgh2mNhM,2020-04-14 18:24:42+00:00,0
AMZN,"I sold an $AMZN  call two weeks ago for $1900

If i held it i could have sold it for $12000 today 🤮🤮🤮🤮",2020-04-14 18:24:33+00:00,0
AMZN,$AMZN has again defied the detractors (Trump) higher,2020-04-14 18:21:03+00:00,0
AMZN,Still holding $amzn 🥳🥳🥳,2020-04-14 18:20:44+00:00,0
AMZN,Imagine $TSLA self driving vehicles delivering $AMZN packages and groceries. @elonmusk @JeffBezos,2020-04-14 18:17:43+00:00,0
AMZN,RT @livetradepro: $AMZN Mega breakout to new ATH today!,2020-04-14 18:16:19+00:00,0
AMZN,@BobLoukas What about $AMZN,2020-04-14 18:16:17+00:00,0
AMZN,"RT @ManicTrading: $BABA - We took these 205c at 1.25 these went to 2.70 for 100% we are still holding some at 3.80 205%+ 

$AMZN $BABA $BA…",2020-04-14 18:14:32+00:00,0
AMZN,$AMZN home run .. just 10 days 300 plus move https://t.co/pfvULQ0ifC,2020-04-14 18:14:06+00:00,0
AMZN,$AMZN Mega breakout to new ATH today!,2020-04-14 18:12:00+00:00,0
AMZN,$AMZN new 52 week high https://t.co/ffm7QICA1r,2020-04-14 18:11:10+00:00,0
AMZN,At what price is $amzn a sale for you,2020-04-14 18:09:42+00:00,0
AMZN,@GerberKawasaki Me too other than $amzn $jnj $cvs $kmb $wmt If the lockdown goes to June we could still see a retest.  #justsayin We’re not out of the woods yet.,2020-04-14 18:08:16+00:00,0
AMZN,$amzn trading at 36x Ebitda $spy,2020-04-14 18:04:41+00:00,0
AMZN,Selling Apr 24 $AMZN 2350/2360 call spreads @ 3.25,2020-04-14 18:04:35+00:00,0
AMZN,$AMZN might pull back here https://t.co/NQ5ZJ0dekn,2020-04-14 18:04:33+00:00,0
AMZN,RT @RealMikeLarson: How many times have you heard about the new highs in $AMZN and $NFLX? Now how many times have you heard about the new h…,2020-04-14 18:04:26+00:00,0
AMZN,Wowza that $AMZN call hits 41.95 HOD,2020-04-14 18:03:38+00:00,0
AMZN,$amzn ATH ... people must be reading a lot of books during #lockdown since they are just an online bookstore.,2020-04-14 18:03:10+00:00,0
AMZN,"Yesterday I was reading articles proclaiming how the Bay Area had done everything right
Now talking about extending Shelter In place
Guess it's time to buy more $AMZN https://t.co/yunLCqxEn3",2020-04-14 18:00:32+00:00,0
AMZN,"Our WATCH LIST REVIEW from this past weekend..ICYMI.  Many of these have already triggered for members.   
https://t.co/FfSN3d89Ja  $AMZN $QQQ $SPY $BYND $CHWY et al.",2020-04-14 17:58:41+00:00,0
AMZN,RT @sanglucci: Trying not to look at these $TSLA $AMZN calls https://t.co/iANaglqDsX,2020-04-14 17:57:27+00:00,0
AMZN,$AMZN told you guys he is a must follow https://t.co/PO0ZWmXPUp,2020-04-14 17:55:12+00:00,0
AMZN,"in the meantime COVID-19 runs wild across the world, $AMZN at highest ever: $2,286",2020-04-14 17:53:29+00:00,0
AMZN,Two days ago I put on a bearish position in $AMZN. I'll be starting sub service for anyone who wants to trade of my 'stellar' instincts.,2020-04-14 17:52:12+00:00,0
AMZN,"$AMZN z-score

1D: +2.96
1W: +2.65
1M: +2.79",2020-04-14 17:50:10+00:00,0
AMZN,This rally is done $AMZN $QQQ $SPY,2020-04-14 17:46:51+00:00,0
AMZN,RT @Guruleaks1: Hey $AMZN where is my package? https://t.co/7RTdESPNaP,2020-04-14 17:45:39+00:00,0
AMZN,Relative Strengh Index is crossing 70 on $AMZN. Overbought? Or more to go? https://t.co/s4okVb8FcI $SPX https://t.co/GgpZZK9tdk,2020-04-14 17:45:04+00:00,0
